"Welcome To HDRi Maker","HDRi Maker"
"Open Help","打开帮助"
"Libraries are not currently linked or installed","库未链接或未安装"
"Go to install","偏好设置"
"Other options:","其他选项:"
"Did you already work on HDRi Maker and you already installed the libraries? If so, indicate the paths below","您是否已经使用 HDRi Maker 并且已经安装过库？"
"Enter the path to the Default Library (HDRI_MAKER_DEFAULT_LIB)","输入默认库路径 (HDRI_MAKER_DEFAULT_LIB)"
"Enter the path of the User Library (HDRI_MAKER_USER_LIB)","输入用户库路径 (HDRI_MAKER_USER_LIB)"
"Choose the path","选择路径"
"Choose The Path","选择路径"
"Helps","帮助"
"Category:","类别:"
"Socials:","社交媒体:"
"General Options:","常规选项:"
"Show material popup label","显示材质名称"
"Icon preview dimension","图标预览尺寸"
"Icons popup size","预览弹出尺寸"
"Check update frequency:","检查更新频率:"
"Fix Options:","修复选项:"
"Try to Fix Unknow Nodes","尝试修复未知节点"
"Find Lost Images","查找丢失图像"
"Purge ExtremeAddons Cache","清理Extreme插件缓存"
"Regenerate Previews and Icons","重新生成预览图和图标"
"Experimental Options:","实验选项:"
"Show Creator Utility","现实创建工具"
"Volumetric Detail:","体积细节:"
"Very Low","非常低"
"Very High","非常高"
"Ultra","极高"
"Welcome to HDRi Maker Library Installation","欢迎使用HDRi Maker库安装工具"
"How to install libraries","如何安装库"
"If this is the first time you run HDRi Maker, please ch.ibrary where the addon will look for HDRi library files.","如果是第一次运行HDRi Maker，请选择HDRi库文件位置"
"If you have never used HDRi Maker, do not indicate the User library path","如果您没有使用过HDRi Maker，请勿输入用户库路径"
"If this is the first time you run HDRi Maker, please choose the path of the default library where the addon will look for HDRi library files.","如果是第一次运行HDRi Maker，请选择默认库文件位置"
"If you have already downloaded the library Volume files (Those with the '.exapack' extension), press the button below and indicate the path where the .exapack files are locate. If you don't have the library files, go to your Order page and download them.","如果您已经下载了库卷文件（扩展名为“.exapack ”的文件），请点击下面的按钮并指明 .exapack 文件所在的路径。\n如果您还没有库文件，请到您的订购页面下载。"
"Add more library expansions:","添加更多库扩展："
"Expansion Path","扩展路径"
"Add library","添加库"
"Make Asset Browser:","创建资产浏览器"
"Default Library","默认库"
"User Library","用户库"
"Choose Path","选择路径"
"Make Asset Browser","创建资产浏览器"
"Press ESC to cancel","按ESC取消"
"Choose Exapacks","选择扩展包"
"Check addon updates","检查插件更新"
"Addon Updates","插件更新"
"Go to your orderpage:","去你的订购页面:"
"Updates List: ","更新列表: "
"Library Updates","库更新"
"New libraries available!","新的库可用!"
"Check library updates","检查库更新"
"Try compile Exapack","尝试编译扩展包"
"pack available","扩展包可用"
"Uninstall","卸载"
"Not Installed","未安装"
"Exapack available","扩展包可用"
"Diffuse","漫射"
"Light","光源"
"Use Solid Color","使用纯色"
"Vectors","向量"
"Solve Nodes Problem","修复节点问题"
"Restore to default values","还原默认值"
"C. Strength","颜色.强度"
"Dome","穹顶"
"Dome V2","穹顶 V2"
"Dome V3","穹顶 V3"
"Dome Type:","穹顶类型:"
"Add Dome","添加穹顶"
"Remove Dome","移除穹顶"
"Dome Properties","穹顶属性"
"Hide Dome","隐藏穹顶"
"Hide Reflection Plane","隐藏反射平面"
"Enable manually","手动启用"
"Scale Dome","缩放穹顶"
"Rotate Dome","旋转穹顶"
"Add Hooks","添加挂钩"
"No object selected Or object(s) are not 'MEHS' type. To make the shrinkwrap, select the object(s) to which you want to apply the shrinkwrap.the object(s) must be of type 'MESH'.","未选择对象或对象不是 'MEHS' 类型。要制作收缩包装，请选择要应用收缩包装的对象。对象必须是类型 'MESH'。"
"Ground","地面"
"Add Ground","添加地面"
"Dome Color","穹顶颜色"
"Exposure Full","曝光全部"
"Exposure Ground","曝光地面"
"Online Documentation","在线文档"
"documentation","文档"
"video tutorials","视频教程"
"Wrap","包边"
"Un-Wrap All","取消全部包边"
"Assign/remove Shrinkwrap to object(s)","为对象分配/删除收缩包装"
"Remove Hooks","移除挂钩"
"Hide Hooks","隐藏挂钩"
"Hooks Size","挂钩大小"
"Expand Hooks","展开钩子"
"Hooks Type","钩子类型"
"Solid Color","纯色"
"Color Lab","颜色实验室"
"Color System:","颜色系统:"
"Search color name","搜索颜色名称"
"Import","导入"
"Import Background","导入环境"
"Try to convert","尝试转换"
"The current world cannot be converted to an HDRi Maker World, since no HDR/EXR image was found in it","当前世界无法转换为 HDRi Maker 世界，因为其中没有找到 HDR/EXR 图像"
"Add Remove Groups","添加/删除组"
"This World was not created with HDRi Maker, it is not possible to solve the problem. (This cleaner was created to solve the problems with the nodes created with HDRi Maker)","此世界没有使用 HDRi Maker 创建，无法解决此问题。"
"The dome is hidden, make it visible to continue working on it","穹顶已隐藏，使其可见以继续工作"
"Handler Display Type:","控制柄显示类型:"
"Handler Display Size","控制柄显示大小"
"Plainaxes","平面坐标"
"Singlearrow","单箭头"
"Remove All","移除全部"
"Bump Strength","凹凸强度"
"Bump Distance","凹凸距离"
"Adjust Boundary","调整边界"
"Expand Catcher Plane","展开捕捉平面"
"Expand On Top","展开顶部"
"Volumetric","体积"
"Volume:","体积:"
"Noise Volume","噪波体积"
"Unlink Volume","解绑体积"
"Noise Strength","噪波强度"
"Animation X","动画 X"
"Animation Z","动画 Z"
"Animation Seed","动画种子"
"Volume Range","体积范围"
"Smooth Expand","平滑扩展"
"Visibility distance","可见距离"
"Flip Range","反转范围"
"The shadow catcher (in Eevee render) only works if you add a light into the scene and if are in render mode","阴影捕捉器（在 Eevee 渲染中）仅在添加光源到场景并处于渲染模式时才起作用"
"Add Shadow Catcher","添加阴影捕捉器"
"Film Transparent","胶片透明"
"Fingerprints","指纹"
"Eevee Only:","仅Eevee:"
"Shadow Strength","阴影强度"
"Reflection Strength","反射强度"
"Reflection Range","反射范围"
"Reflection Smooth","反射平滑"
"Film Transparent","胶片透明"
"Hide Cycles SC","隐藏 Cycles SC"
"Remove Shadow Catcher","移除阴影捕捉器"
"To show the save menu, switch to the user library","要显示保存菜单，切换到用户库"
"witch to User Library for more options","切换到用户库以获得更多选项"
"Export image","导出图像"
"Current Background","当前环境"
"Save type","保存类型"
"Save background","保存环境"
"Save to Cat","保存到目录"
"Empty Collection..","空集合..."
"Library Tools","库工具"
"Danger Zone:","危险区域:"
"Add New Category","添加新类别"
"Move Background to Category","将背景移动到类别"
"Rename Background","重命名背景"
"Rename Category","重命名类别"
"Open Current Folder","打开当前文件夹"
"Add new category","添加新类别"
"Add category","添加"
"Category Name:","类别名:"
"After your choice, press 'Ok' to confirm, or Esc, to cancel.","选择后，按“OK”确认，或按“ESC”取消。"
"Move current background Empty..","移动当前背景空.."
"Move to category","移动到类别"
"To category:","到类别:"
"No material present in this category, impossible to rename because it does not exist","此类别中不存在材质，无法重命名，因为它不存在"
"Delete background","删除背景"
"Delete options","删除选项"
"Lamps","灯"
"Light Count","光源数量"
"Random Color","随机颜色"
"Shadow S.size","阴影.大小"
"Energy","能量"
"Remove Sun","移除太阳"
"Sun Height","太阳高度"
"Sync Sun","同步太阳"
"Un-Sync Sun","停止同步太阳'"
"Sun Color:","太阳颜色:"
"Shadow","阴影"
" Shadow","阴影"
"Light type:","光源类型:"
"Panorama 360","360°全景"
"Batch from folder","从文件夹批量"
"Add 360 Cam oncursor","在游标添加360相机"
"360 Cam on cursor","360相机到游标"
"Panorama Save","360全景保存"
"Find Camera","查找相机"
"Use HDRi Maker Render Attributes","使用 HDRi Maker 渲染属性"
"Please insert a name:","请输入名称:"
"Custom Size","自定义大小"
"Save Panorama","保存全景"
"Size in K:","大小(K):"
"Choose the source folder:","选择源文件夹:"
"Batch Save","批量保存"
"Info","信息"
"Attention Enter a path that contains .hdr files","注意：输入包含.hdr 文件的路径"
"Dome Vectors","穹顶矢量"
"Blur Flip","模糊翻转"
"Empt...","空..."